corrupt, 0
blinks
9.84,0
12.67,0
15.57,1
16.13,1
16.72,1
17.68,1
18.26,1
18.91,1
24.4,0
30.48,1
31.14,1
31.73,1
32.73,1
33.25,1
33.86,1
42.46,0
45.76,1
46.33,1
47.01,1
47.98,1
48.48,1
48.97,1
53.13,0
53.65,0
60.5,1
61.04,1
61.54,1
62.38,1
62.96,1
63.73,1
73.02,0
75.51,1
76.05,1
76.54,1
77.37,1
77.89,1
78.41,1
80.15,0
89.21,0
90.57,1
91.18,1
91.75,1
92.74,1
93.24,1
93.76,1
105.62,1
106.22,1
106.8,1
107.82,1
108.39,1
108.97,1
111.6,0
116.93,0
117.34,0
120.57,1
121.26,1
121.8,1
122.66,1
123.28,1
123.94,1
127.45,0
135.64,1
136.24,1
136.83,1
137.79,1
138.27,1
138.84,1
146.49,0
149.27,0
150.51,1
151.07,1
151.5,1
152.35,1
