corrupt, 1
0,3
blinks
12.85,0
15.29,1
15.63,1
15.97,1
16.86,1
17.14,1
30.34,1
30.68,1
31.14,1
32.05,1
32.48,1
32.81,1
45.31,1
45.7,1
46.11,1
47.03,1
47.51,1
47.94,1
60.54,1
61.11,1
61.79,1
62.91,1
63.44,1
63.79,1
75.71,1
76.48,1
77.08,1
78.19,1
78.72,1
79.25,1
86.35,0
90.5,1
91.36,1
92.67,1
93.4,1
94.04,1
94.49,1
95.67,0
97.82,0
105.67,1
106.24,1
106.76,1
108.2,1
108.85,1
109.24,1
120.64,1
121.15,1
121.69,1
123.12,1
123.54,1
123.93,1
135.5,1
135.95,1
136.46,1
137.54,1
137.8,1
138.22,1
150.54,1
150.95,1
151.43,1
