corrupt, 0
blinks
6.42,0
18.3,0
19.41,0
23.64,0
25.52,1
26.04,1
26.76,1
27.9,1
28.55,1
29.18,1
42.32,0
50.55,1
51.12,1
51.94,1
53.25,1
53.9,1
54.64,1
62.76,0
66.54,0
75.34,1
76.01,1
76.77,1
78.01,1
78.6,1
79.1,1
84.6,0
89.46,2
100.52,1
101.33,1
102.29,1
103.46,1
104.32,1
105.16,1
110.17,0
113.66,0
117.53,0
122.08,0
125.36,1
126.23,1
127.03,1
128.15,1
129.03,1
129.92,1
134.4,0
139.89,0
144.23,0
148.22,0
150.65,1
151.37,1
152.11,1
153.51,1
154.38,1
155.25,1
157.07,2
160.65,0
165.39,0
169.62,0
174.71,2
175.88,1
176.68,1
177.51,1
179.5,1
180.21,1
180.97,1
184.67,2
190.16,0
196.82,0
200.64,1
201.4,1
202.28,1
203.58,1
204.3,1
205.19,1
210.95,2
216.22,0
222.34,0
225.72,1
226.44,1
227.32,1
228.72,1
229.55,1
230.37,1
237.29,2
240.14,0
248.4,0
250.62,1
251.4,1
252.15,1
253.34,1
254.05,1
254.81,1
272.37,0
276.32,1
277.09,1
